Taxon	Count
"Bacteria ""Firmicutes"" ""Clostridia"" Clostridiales Veillonellaceae Phascolarctobacterium"	2
"Bacteria ""Firmicutes"" ""Clostridia"" Clostridiales Veillonellaceae Sporotalea"	1
"Bacteria ""Firmicutes"" ""Clostridia"" Clostridiales Veillonellaceae Succiniclasticum"	1
"Bacteria ""Firmicutes"" ""Clostridia"" Clostridiales Veillonellaceae Succinispira"	95
"Bacteria ""Firmicutes"" ""Clostridia"" Halanaerobiales Halanaerobiaceae Halocella"	3
"Bacteria ""Firmicutes"" ""Clostridia"" Halanaerobiales Halanaerobiaceae Halothermothrix"	1
"Bacteria ""Firmicutes"" ""Erysipelotrichi"" ""Erysipelotrichales"" Erysipelotrichaceae Allobaculum"	1
"Bacteria ""Firmicutes"" ""Erysipelotrichi"" ""Erysipelotrichales"" Erysipelotrichaceae Catenibacterium"	1
"Bacteria ""Fusobacteria"" ""Fusobacteria"" ""Fusobacteriales"" ""Leptotrichiaceae"" Streptobacillus"	1
"Bacteria ""Nitrospira"" ""Nitrospira"" ""Nitrospirales"" ""Nitrospiraceae"" Nitrospira"	3
"Bacteria ""Planctomycetes"" ""Planctomycetacia"" Planctomycetales Planctomycetaceae Gemmata"	7
"Bacteria ""Planctomycetes"" ""Planctomycetacia"" Planctomycetales Planctomycetaceae Isosphaera"	2
"Bacteria ""Planctomycetes"" ""Planctomycetacia"" Planctomycetales Planctomycetaceae Singulisphaera"	1
"Bacteria ""Proteobacteria"" Alphaproteobacteria  Alphaproteobacteria_incertae_sedis Elioraea"	1
"Bacteria ""Proteobacteria"" Alphaproteobacteria Caulobacterales Caulobacteraceae Brevundimonas"	13
"Bacteria ""Proteobacteria"" Alphaproteobacteria Rhizobiales Hyphomicrobiaceae Methylorhabdus"	1
"Bacteria ""Proteobacteria"" Alphaproteobacteria Rhizobiales Methylocystaceae Terasakiella"	1
"Bacteria ""Proteobacteria"" Alphaproteobacteria Rhizobiales Rhodobiaceae Parvibaculum"	1
"Bacteria ""Proteobacteria"" Alphaproteobacteria Rhodobacterales Rhodobacteraceae Albidovulum"	1
"Bacteria ""Proteobacteria"" Alphaproteobacteria Rhodobacterales Rhodobacteraceae Nereida"	1
"Bacteria ""Proteobacteria"" Alphaproteobacteria Rhodobacterales Rhodobacteraceae Pannonibacter"	5
"Bacteria ""Proteobacteria"" Alphaproteobacteria Rhodospirillales Acetobacteraceae Acidisphaera"	1
"Bacteria ""Proteobacteria"" Alphaproteobacteria Rhodospirillales Acetobacteraceae Granulibacter"	1
"Bacteria ""Proteobacteria"" Alphaproteobacteria Rhodospirillales Acetobacteraceae Paracraurococcus"	2
"Bacteria ""Proteobacteria"" Alphaproteobacteria Rhodospirillales Acetobacteraceae Rubritepida"	2
"Bacteria ""Proteobacteria"" Alphaproteobacteria Rhodospirillales Acetobacteraceae Saccharibacter"	1
"Bacteria ""Proteobacteria"" Alphaproteobacteria Rhodospirillales Acetobacteraceae Swaminathania"	4
"Bacteria ""Proteobacteria"" Alphaproteobacteria Rhodospirillales Rhodospirillaceae Defluviicoccus"	11
"Bacteria ""Proteobacteria"" Alphaproteobacteria Rhodospirillales Rhodospirillaceae Oceanibaculum"	4
"Bacteria ""Proteobacteria"" Alphaproteobacteria Rhodospirillales Rhodospirillaceae Telmatospirillum"	50
"Bacteria ""Proteobacteria"" Alphaproteobacteria Rhodospirillales Rhodospirillaceae Tistrella"	6
"Bacteria ""Proteobacteria"" Alphaproteobacteria Rickettsiales Rickettsiaceae Orientia"	11
"Bacteria ""Proteobacteria"" Alphaproteobacteria Rickettsiales SAR11 Pelagibacter"	2
"Bacteria ""Proteobacteria"" Alphaproteobacteria Sphingomonadales Erythrobacteraceae Altererythrobacter"	1
"Bacteria ""Proteobacteria"" Alphaproteobacteria Sphingomonadales Erythrobacteraceae Croceicoccus"	3
"Bacteria ""Proteobacteria"" Alphaproteobacteria Sphingomonadales Erythrobacteraceae Erythromicrobium"	1
"Bacteria ""Proteobacteria"" Alphaproteobacteria Sphingomonadales Sphingomonadaceae Novosphingobium"	28
"Bacteria ""Proteobacteria"" Alphaproteobacteria Sphingomonadales Sphingomonadaceae Sandaracinobacter"	15
"Bacteria ""Proteobacteria"" Alphaproteobacteria Sphingomonadales Sphingomonadaceae Sandarakinorhabdus"	60
"Bacteria ""Proteobacteria"" Betaproteobacteria Burkholderiales Alcaligenaceae Derxia"	1
"Bacteria ""Proteobacteria"" Betaproteobacteria Burkholderiales Burkholderiaceae Limnobacter"	1
"Bacteria ""Proteobacteria"" Betaproteobacteria Burkholderiales Burkholderiaceae Wautersia"	4
"Bacteria ""Proteobacteria"" Betaproteobacteria Burkholderiales Burkholderiales_incertae_sedis Aquabacterium"	446
"Bacteria ""Proteobacteria"" Betaproteobacteria Burkholderiales Burkholderiales_incertae_sedis Aquincola"	3
"Bacteria ""Proteobacteria"" Betaproteobacteria Burkholderiales Burkholderiales_incertae_sedis Inhella"	7
"Bacteria ""Proteobacteria"" Betaproteobacteria Burkholderiales Burkholderiales_incertae_sedis Leptothrix"	2
"Bacteria ""Proteobacteria"" Betaproteobacteria Burkholderiales Burkholderiales_incertae_sedis Mitsuaria"	7
"Bacteria ""Proteobacteria"" Betaproteobacteria Burkholderiales Burkholderiales_incertae_sedis Rhizobacter"	59
"Bacteria ""Proteobacteria"" Betaproteobacteria Burkholderiales Burkholderiales_incertae_sedis Thiobacter"	3
"Bacteria ""Proteobacteria"" Betaproteobacteria Burkholderiales Burkholderiales_incertae_sedis Xylophilus"	12
"Bacteria ""Proteobacteria"" Betaproteobacteria Burkholderiales Comamonadaceae Alicycliphilus"	63
"Bacteria ""Proteobacteria"" Betaproteobacteria Burkholderiales Comamonadaceae Brachymonas"	1
"Bacteria ""Proteobacteria"" Betaproteobacteria Burkholderiales Comamonadaceae Caenimonas"	2
"Bacteria ""Proteobacteria"" Betaproteobacteria Burkholderiales Comamonadaceae Comamonas"	1376
"Bacteria ""Proteobacteria"" Betaproteobacteria Burkholderiales Comamonadaceae Diaphorobacter"	1
"Bacteria ""Proteobacteria"" Betaproteobacteria Burkholderiales Comamonadaceae Hylemonella"	42
"Bacteria ""Proteobacteria"" Betaproteobacteria Burkholderiales Comamonadaceae Lampropedia"	5
"Bacteria ""Proteobacteria"" Betaproteobacteria Burkholderiales Comamonadaceae Macromonas"	11
"Bacteria ""Proteobacteria"" Betaproteobacteria Burkholderiales Comamonadaceae Pseudacidovorax"	19
"Bacteria ""Proteobacteria"" Betaproteobacteria Burkholderiales Comamonadaceae Verminephrobacter"	7
"Bacteria ""Proteobacteria"" Betaproteobacteria Burkholderiales Comamonadaceae Xenophilus"	5
"Bacteria ""Proteobacteria"" Betaproteobacteria Burkholderiales Oxalobacteraceae Oxalicibacterium"	1
"Bacteria ""Proteobacteria"" Betaproteobacteria Hydrogenophilales Hydrogenophilaceae Hydrogenophilus"	228
"Bacteria ""Proteobacteria"" Betaproteobacteria Hydrogenophilales Hydrogenophilaceae Petrobacter"	3
"Bacteria ""Proteobacteria"" Betaproteobacteria Neisseriales Neisseriaceae Bergeriella"	28
"Bacteria ""Proteobacteria"" Betaproteobacteria Neisseriales Neisseriaceae Chitinibacter"	25
"Bacteria ""Proteobacteria"" Betaproteobacteria Neisseriales Neisseriaceae Chitinilyticum"	1
"Bacteria ""Proteobacteria"" Betaproteobacteria Neisseriales Neisseriaceae Gulbenkiania"	3
"Bacteria ""Proteobacteria"" Betaproteobacteria Neisseriales Neisseriaceae Laribacter"	2
"Bacteria ""Proteobacteria"" Betaproteobacteria Neisseriales Neisseriaceae Neisseria"	94
"Bacteria ""Proteobacteria"" Betaproteobacteria Neisseriales Neisseriaceae Vitreoscilla"	1
"Bacteria ""Proteobacteria"" Betaproteobacteria Nitrosomonadales Nitrosomonadaceae Nitrosospira"	1
"Bacteria ""Proteobacteria"" Betaproteobacteria Rhodocyclales Rhodocyclaceae Azovibrio"	1
"Bacteria ""Proteobacteria"" Betaproteobacteria Rhodocyclales Rhodocyclaceae Denitratisoma"	1
"Bacteria ""Proteobacteria"" Betaproteobacteria Rhodocyclales Rhodocyclaceae Quatrionicoccus"	4
"Bacteria ""Proteobacteria"" Deltaproteobacteria Bdellovibrionales Bdellovibrionaceae Bdellovibrio"	1
"Bacteria ""Proteobacteria"" Deltaproteobacteria Desulfarculales Desulfarculaceae Desulfarculus"	4
"Bacteria ""Proteobacteria"" Deltaproteobacteria Desulfobacterales Desulfobacteraceae Desulfatiferula"	8
"Bacteria ""Proteobacteria"" Deltaproteobacteria Desulfobacterales Desulfobacteraceae Desulfatirhabdium"	1
"Bacteria ""Proteobacteria"" Deltaproteobacteria Desulfovibrionales Desulfovibrionaceae Bilophila"	2
"Bacteria ""Proteobacteria"" Deltaproteobacteria Myxococcales Kofleriaceae Kofleria"	1
"Bacteria ""Proteobacteria"" Deltaproteobacteria Myxococcales Polyangiaceae Chondromyces"	4
"Bacteria ""Proteobacteria"" Deltaproteobacteria Myxococcales Polyangiaceae Sorangium"	2
"Bacteria ""Proteobacteria"" Deltaproteobacteria Syntrophobacterales Syntrophaceae Smithella"	9
"Bacteria ""Proteobacteria"" Epsilonproteobacteria Campylobacterales Campylobacteraceae Arcobacter"	162
"Bacteria ""Proteobacteria"" Epsilonproteobacteria Campylobacterales Helicobacteraceae Sulfurovum"	13
"Bacteria ""Proteobacteria"" Epsilonproteobacteria Nautiliales Nautiliaceae Lebetimonas"	3
"Bacteria ""Proteobacteria"" Epsilonproteobacteria Nautiliales Nautiliaceae Thioreductor"	3
"Bacteria ""Proteobacteria"" Gammaproteobacteria  Gammaproteobacteria_incertae_sedis Gilvimarinus"	1
"Bacteria ""Proteobacteria"" Gammaproteobacteria  Gammaproteobacteria_incertae_sedis Solimonas"	2
"Bacteria ""Proteobacteria"" Gammaproteobacteria ""Enterobacteriales"" Enterobacteriaceae Plesiomonas"	1
"Bacteria ""Proteobacteria"" Gammaproteobacteria ""Enterobacteriales"" Enterobacteriaceae Sodalis"	1
"Bacteria ""Proteobacteria"" Gammaproteobacteria Cardiobacteriales Cardiobacteriaceae Dichelobacter"	3
"Bacteria ""Proteobacteria"" Gammaproteobacteria Chromatiales Chromatiaceae Chromatium"	52
"Bacteria ""Proteobacteria"" Gammaproteobacteria Chromatiales Chromatiaceae Thiohalocapsa"	3
"Bacteria ""Proteobacteria"" Gammaproteobacteria Chromatiales Ectothiorhodospiraceae Alkalispirillum"	2
"Bacteria ""Proteobacteria"" Gammaproteobacteria Chromatiales Ectothiorhodospiraceae Aquisalimonas"	8
"Bacteria ""Proteobacteria"" Gammaproteobacteria Chromatiales Ectothiorhodospiraceae Arhodomonas"	2
"Bacteria ""Proteobacteria"" Gammaproteobacteria Chromatiales Halothiobacillaceae Thioalkalibacter"	1
"Bacteria ""Proteobacteria"" Gammaproteobacteria Oceanospirillales Hahellaceae Endozoicomonas"	30
"Bacteria ""Proteobacteria"" Gammaproteobacteria Oceanospirillales Halomonadaceae Aidingimonas"	1
"Bacteria ""Proteobacteria"" Gammaproteobacteria Oceanospirillales Halomonadaceae Carnimonas"	67
"Bacteria ""Proteobacteria"" Gammaproteobacteria Oceanospirillales Halomonadaceae Cobetia"	2
"Bacteria ""Proteobacteria"" Gammaproteobacteria Oceanospirillales Halomonadaceae Modicisalibacter"	151
"Bacteria ""Proteobacteria"" Gammaproteobacteria Oceanospirillales Halomonadaceae Zymobacter"	1
"Bacteria ""Proteobacteria"" Gammaproteobacteria Oceanospirillales Litoricolaceae Litoricola"	1
"Bacteria ""Proteobacteria"" Gammaproteobacteria Oceanospirillales Oceanospirillaceae Balneatrix"	2
"Bacteria ""Proteobacteria"" Gammaproteobacteria Oceanospirillales Oceanospirillaceae Neptuniibacter"	1
"Bacteria ""Proteobacteria"" Gammaproteobacteria Oceanospirillales Oleiphilaceae Oleiphilus"	1
"Bacteria ""Proteobacteria"" Gammaproteobacteria Pseudomonadales Moraxellaceae Acinetobacter"	11
"Bacteria ""Proteobacteria"" Gammaproteobacteria Pseudomonadales Moraxellaceae Alkanindiges"	9
"Bacteria ""Proteobacteria"" Gammaproteobacteria Pseudomonadales Moraxellaceae Enhydrobacter"	1
"Bacteria ""Proteobacteria"" Gammaproteobacteria Pseudomonadales Pseudomonadaceae Azomonas"	396
"Bacteria ""Proteobacteria"" Gammaproteobacteria Pseudomonadales Pseudomonadaceae Azorhizophilus"	414
"Bacteria ""Proteobacteria"" Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas"	3732
"Bacteria ""Proteobacteria"" Gammaproteobacteria Thiotrichales Piscirickettsiaceae Cycloclasticus"	4
"Bacteria ""Proteobacteria"" Gammaproteobacteria Thiotrichales Thiotrichaceae Beggiatoa"	22
"Bacteria ""Proteobacteria"" Gammaproteobacteria Thiotrichales Thiotrichaceae Leucothrix"	1
"Bacteria ""Proteobacteria"" Gammaproteobacteria Thiotrichales Thiotrichales_incertae_sedis Fangia"	4
"Bacteria ""Proteobacteria"" Gammaproteobacteria Xanthomonadales Sinobacteraceae Alkanibacter"	5
"Bacteria ""Proteobacteria"" Gammaproteobacteria Xanthomonadales Sinobacteraceae Hydrocarboniphaga"	6
